library,operation,dtype,channels,duration_s,iterations,warmup,chunk_size,cold_cache,avg_ms,stddev_ms,p50_ms,p90_ms,p99_ms,cv
hound,streamed-read,f32,2,5,100,0,1024,1,3.364027,0.171379,3.31034,3.64207,3.838151,0.050945
hound,streamed-read,f32,2,5,100,0,16384,1,3.27726,0.201132,3.236333,3.52438,3.772419,0.061372
hound,streamed-read,f32,2,5,100,0,4096,1,3.280641,0.107954,3.275621,3.405454,3.573636,0.032906
hound,streamed-read,f32,2,5,100,0,512,1,3.310068,0.174504,3.271095,3.517321,3.920396,0.052719
hound,streamed-read,f32,2,5,100,0,8192,1,3.361071,0.174208,3.325591,3.515534,4.122398,0.051831
hound,streamed-read,f32,2,600,100,0,1024,1,294.204599,7.438216,294.166757,303.211425,313.254816,0.025282
hound,streamed-read,f32,2,600,100,0,16384,1,298.161789,9.961518,297.122066,311.729692,320.561655,0.03341
hound,streamed-read,f32,2,600,100,0,4096,1,293.144799,10.222776,290.858301,304.07256,324.102442,0.034873
hound,streamed-read,f32,2,600,100,0,512,1,297.013392,10.557771,294.835916,309.115051,328.401433,0.035546
hound,streamed-read,f32,2,600,100,0,8192,1,294.8655,9.326194,293.704536,305.170778,324.916238,0.031629
hound,streamed-read,f32,2,60,100,0,1024,1,31.032928,2.380711,30.521028,34.192267,37.324169,0.076716
hound,streamed-read,f32,2,60,100,0,16384,1,30.338242,1.795008,30.098613,32.275469,35.523443,0.059167
hound,streamed-read,f32,2,60,100,0,4096,1,30.194703,1.53799,30.018508,31.561398,35.909148,0.050936
hound,streamed-read,f32,2,60,100,0,512,1,30.865517,1.922072,30.178571,33.568136,37.709779,0.062272
hound,streamed-read,f32,2,60,100,0,8192,1,30.453975,1.399912,30.13133,32.415089,35.201325,0.045968
hound,streamed-read,i16,1,10,100,0,1024,1,5.04327,0.183599,4.971441,5.289796,5.634634,0.036405
hound,streamed-read,i16,1,10,100,0,16384,1,4.874901,0.083669,4.862171,4.970088,5.155703,0.017163
hound,streamed-read,i16,1,10,100,0,4096,1,4.922408,0.125878,4.894237,5.000507,5.527037,0.025572
hound,streamed-read,i16,1,10,100,0,512,1,4.951107,0.128675,4.92162,5.033655,5.539939,0.025989
hound,streamed-read,i16,1,10,100,0,8192,1,4.928066,0.123078,4.90463,4.984373,5.443907,0.024975
hound,streamed-read,i16,1,1,100,0,1024,1,0.932087,0.021338,0.927371,0.956544,1.010805,0.022893
hound,streamed-read,i16,1,1,100,0,16384,1,0.932829,0.021953,0.930831,0.960478,0.992426,0.023533
hound,streamed-read,i16,1,1,100,0,4096,1,0.93897,0.042746,0.933979,0.978115,1.039334,0.045524
hound,streamed-read,i16,1,1,100,0,512,1,0.922963,0.035039,0.920733,0.955934,1.03269,0.037963
hound,streamed-read,i16,1,1,100,0,8192,1,0.935318,0.026999,0.931176,0.969324,1.013724,0.028866
hound,streamed-read,i16,1,300,100,0,1024,1,129.486328,2.083272,128.820311,131.722988,137.780389,0.016089
hound,streamed-read,i16,1,300,100,0,16384,1,129.71933,2.592656,128.918571,132.714091,139.422613,0.019987
hound,streamed-read,i16,1,300,100,0,4096,1,130.006448,2.695588,129.238882,131.795214,137.796919,0.020734
hound,streamed-read,i16,1,300,100,0,512,1,129.787443,1.8555,129.258982,131.612131,136.895341,0.014296
hound,streamed-read,i16,1,300,100,0,8192,1,130.191332,1.830113,129.745071,132.364042,135.579225,0.014057
hound,streamed-read,i16,1,30,100,0,1024,1,13.670845,0.405312,13.537075,14.244574,15.151881,0.029648
hound,streamed-read,i16,1,30,100,0,16384,1,13.521019,0.311355,13.440015,13.728597,14.468659,0.023028
hound,streamed-read,i16,1,30,100,0,4096,1,13.699139,0.461844,13.539654,14.562651,15.177335,0.033713
hound,streamed-read,i16,1,30,100,0,512,1,13.622647,0.285476,13.537052,14.044453,14.413426,0.020956
hound,streamed-read,i16,1,30,100,0,8192,1,13.482759,0.178519,13.431389,13.713511,14.152431,0.013241
hound,streamed-read,i16,1,5,100,0,1024,1,2.795653,0.088552,2.773412,2.880298,3.095615,0.031675
hound,streamed-read,i16,1,5,100,0,16384,1,2.761245,0.079901,2.733564,2.85088,3.044657,0.028937
hound,streamed-read,i16,1,5,100,0,4096,1,2.765783,0.092387,2.751595,2.900154,3.049558,0.033403
hound,streamed-read,i16,1,5,100,0,512,1,2.755261,0.087843,2.742098,2.810313,3.143672,0.031882
hound,streamed-read,i16,1,5,100,0,8192,1,2.771798,0.118491,2.7391,2.92349,3.292739,0.042749
hound,streamed-read,i16,1,600,100,0,1024,1,259.530397,3.261296,258.707825,263.003634,274.578415,0.012566
